[12,12]
[0,0]:300.0
[1,0]:300.0
[2,0]:300.0
[3,0]:300.0
[4,0]:300.0
[5,0]:300.0
[6,0]:300.0
[7,0]:300.0
[8,0]:300.0
[9,0]:300.0
[10,0]:300.0
[11,0]:300.0
[0,1]:300.0
[1,1]:300.0
[2,1]:300.0
[3,1]:300.0
[4,1]:300.0
[5,1]:300.0
[6,1]:300.0
[7,1]:300.0
[8,1]:300.0
[9,1]:300.0
[10,1]:300.0
[11,1]:300.0
[0,2]:300.0
[1,2]:300.0
[2,2]:300.0
[3,2]:300.0
[4,2]:300.0
[5,2]:300.0
[6,2]:300.0
[7,2]:300.0
[8,2]:300.0
[9,2]:300.0
[10,2]:300.0
[11,2]:300.0
[0,3]:300.0
[1,3]:300.0
[2,3]:300.0
[3,3]:300.0
[4,3]:300.0
[5,3]:300.0
[6,3]:300.0
[7,3]:300.0
[8,3]:300.0
[9,3]:300.0
[10,3]:300.0
[11,3]:300.0
[0,4]:300.0
[1,4]:300.0
[2,4]:300.0
[3,4]:300.0
[4,4]:300.0
[5,4]:300.0
[6,4]:300.0
[7,4]:300.0
[8,4]:300.0
[9,4]:300.0
[10,4]:300.0
[11,4]:300.0
[0,5]:300.0
[1,5]:300.0
[2,5]:300.0
[3,5]:300.0
[4,5]:300.0
[5,5]:300.0
[6,5]:300.0
[7,5]:300.0
[8,5]:300.0
[9,5]:300.0
[10,5]:300.0
[11,5]:300.0
[0,6]:300.0
[1,6]:300.0
[2,6]:300.0
[3,6]:300.0
[4,6]:300.0
[5,6]:300.0
[6,6]:300.0
[7,6]:300.0
[8,6]:300.0
[9,6]:300.0
[10,6]:300.0
[11,6]:300.0
[0,7]:300.0
[1,7]:300.0
[2,7]:300.0
[3,7]:300.0
[4,7]:300.0
[5,7]:300.0
[6,7]:300.0
[7,7]:300.0
[8,7]:300.0
[9,7]:300.0
[10,7]:300.0
[11,7]:300.0
[0,8]:300.0
[1,8]:300.0
[2,8]:300.0
[3,8]:300.0
[4,8]:300.0
[5,8]:300.0
[6,8]:300.0
[7,8]:300.0
[8,8]:300.0
[9,8]:300.0
[10,8]:300.0
[11,8]:300.0
[0,9]:300.0
[1,9]:300.0
[2,9]:300.0
[3,9]:300.0
[4,9]:300.0
[5,9]:300.0
[6,9]:300.0
[7,9]:300.0
[8,9]:300.0
[9,9]:300.0
[10,9]:300.0
[11,9]:300.0
[0,10]:300.0
[1,10]:300.0
[2,10]:300.0
[3,10]:300.0
[4,10]:300.0
[5,10]:300.0
[6,10]:300.0
[7,10]:300.0
[8,10]:300.0
[9,10]:300.0
[10,10]:300.0
[11,10]:300.0
[0,11]:300.0
[1,11]:300.0
[2,11]:300.0
[3,11]:300.0
[4,11]:300.0
[5,11]:300.0
[6,11]:300.0
[7,11]:300.0
[8,11]:300.0
[9,11]:300.0
[10,11]:300.0
[11,11]:300.0
