[12,12]
[0,0]:0.0
[1,0]:0.0
[2,0]:0.0
[3,0]:0.0
[4,0]:0.0
[5,0]:0.0
[6,0]:0.0
[7,0]:0.0
[8,0]:0.0
[9,0]:0.0
[10,0]:0.0
[11,0]:0.0
[0,1]:0.122
[1,1]:0.122
[2,1]:0.07
[3,1]:0.045
[4,1]:0.03
[5,1]:0.021
[6,1]:0.014
[7,1]:0.01
[8,1]:0.006
[9,1]:0.003
[10,1]:0.0
[11,1]:0.0
[0,2]:0.046
[1,2]:0.046
[2,2]:0.044
[3,2]:0.034
[4,2]:0.025
[5,2]:0.018
[6,2]:0.013
[7,2]:0.008
[8,2]:0.005
[9,2]:0.002
[10,2]:0.0
[11,2]:0.0
[0,3]:0.02
[1,3]:0.02
[2,3]:0.024
[3,3]:0.022
[4,3]:0.018
[5,3]:0.013
[6,3]:0.01
[7,3]:0.007
[8,3]:0.004
[9,3]:0.002
[10,3]:0.0
[11,3]:0.0
[0,4]:0.009
[1,4]:0.009
[2,4]:0.012
[3,4]:0.012
[4,4]:0.01
[5,4]:0.008
[6,4]:0.006
[7,4]:0.004
[8,4]:0.003
[9,4]:0.001
[10,4]:0.0
[11,4]:0.0
[0,5]:0.002
[1,5]:0.002
[2,5]:0.004
[3,5]:0.004
[4,5]:0.003
[5,5]:0.003
[6,5]:0.002
[7,5]:0.001
[8,5]:0.001
[9,5]:0.0
[10,5]:0.0
[11,5]:0.0
[0,6]:-0.002
[1,6]:-0.002
[2,6]:-0.004
[3,6]:-0.004
[4,6]:-0.003
[5,6]:-0.003
[6,6]:-0.002
[7,6]:-0.001
[8,6]:-0.001
[9,6]:-0.0
[10,6]:0.0
[11,6]:0.0
[0,7]:-0.009
[1,7]:-0.009
[2,7]:-0.012
[3,7]:-0.012
[4,7]:-0.01
[5,7]:-0.008
[6,7]:-0.006
[7,7]:-0.004
[8,7]:-0.003
[9,7]:-0.001
[10,7]:0.0
[11,7]:0.0
[0,8]:-0.02
[1,8]:-0.02
[2,8]:-0.024
[3,8]:-0.022
[4,8]:-0.018
[5,8]:-0.013
[6,8]:-0.01
[7,8]:-0.007
[8,8]:-0.004
[9,8]:-0.002
[10,8]:0.0
[11,8]:0.0
[0,9]:-0.046
[1,9]:-0.046
[2,9]:-0.044
[3,9]:-0.034
[4,9]:-0.025
[5,9]:-0.018
[6,9]:-0.013
[7,9]:-0.008
[8,9]:-0.005
[9,9]:-0.002
[10,9]:0.0
[11,9]:0.0
[0,10]:-0.046
[1,10]:-0.046
[2,10]:-0.044
[3,10]:-0.034
[4,10]:-0.025
[5,10]:-0.018
[6,10]:-0.013
[7,10]:-0.008
[8,10]:-0.005
[9,10]:-0.002
[10,10]:0.0
[11,10]:0.0
[0,11]:-0.046
[1,11]:-0.046
[2,11]:-0.044
[3,11]:-0.034
[4,11]:-0.025
[5,11]:-0.018
[6,11]:-0.013
[7,11]:-0.008
[8,11]:-0.005
[9,11]:-0.002
[10,11]:0.0
[11,11]:0.0
