[12,12]
[0,0]:-63.27
[1,0]:-63.27
[2,0]:-46.731
[3,0]:-30.713
[4,0]:-21.121
[5,0]:-14.74
[6,0]:-10.212
[7,0]:-6.84
[8,0]:-4.201
[9,0]:-2.002
[10,0]:0.0
[11,0]:0.0
[0,1]:-63.27
[1,1]:-63.27
[2,1]:-46.731
[3,1]:-30.713
[4,1]:-21.121
[5,1]:-14.74
[6,1]:-10.212
[7,1]:-6.84
[8,1]:-4.201
[9,1]:-2.002
[10,1]:0.0
[11,1]:0.0
[0,2]:-84.871
[1,2]:-84.871
[2,2]:-69.332
[3,2]:-48.409
[4,2]:-34.168
[5,2]:-24.139
[6,2]:-16.828
[7,2]:-11.308
[8,2]:-6.955
[9,2]:-3.317
[10,2]:0.0
[11,2]:0.0
[0,3]:-94.678
[1,3]:-94.678
[2,3]:-81.958
[3,3]:-59.94
[4,3]:-43.407
[5,3]:-31.088
[6,3]:-21.829
[7,3]:-14.723
[8,3]:-9.073
[9,3]:-4.332
[10,3]:0.0
[11,3]:0.0
[0,4]:-99.033
[1,4]:-99.033
[2,4]:-88.018
[3,4]:-66.013
[4,4]:-48.594
[5,4]:-35.144
[6,4]:-24.814
[7,4]:-16.788
[8,4]:-10.363
[9,4]:-4.951
[10,4]:0.0
[11,4]:0.0
[0,5]:-99.939
[1,5]:-99.939
[2,5]:-89.321
[3,5]:-67.419
[4,5]:-49.868
[5,5]:-36.184
[6,5]:-25.602
[7,5]:-17.343
[8,5]:-10.713
[9,5]:-5.121
[10,5]:0.0
[11,5]:0.0
[0,6]:-97.761
[1,6]:-97.761
[2,6]:-86.311
[3,6]:-64.424
[4,6]:-47.323
[5,6]:-34.204
[6,6]:-24.153
[7,6]:-16.347
[8,6]:-10.094
[9,6]:-4.824
[10,6]:0.0
[11,6]:0.0
[0,7]:-91.685
[1,7]:-91.685
[2,7]:-78.288
[3,7]:-56.701
[4,7]:-40.889
[5,7]:-29.25
[6,7]:-20.543
[7,7]:-13.866
[8,7]:-8.551
[9,7]:-4.085
[10,7]:0.0
[11,7]:0.0
[0,8]:-79.095
[1,8]:-79.095
[2,8]:-63.248
[3,8]:-43.451
[4,8]:-30.465
[5,8]:-21.485
[6,8]:-14.983
[7,8]:-10.078
[8,8]:-6.205
[9,8]:-2.962
[10,8]:0.0
[11,8]:0.0
[0,9]:-53.194
[1,9]:-53.194
[2,9]:-37.669
[3,9]:-23.966
[4,9]:-16.313
[5,9]:-11.366
[6,9]:-7.885
[7,9]:-5.29
[8,9]:-3.254
[9,9]:-1.553
[10,9]:0.0
[11,9]:0.0
[0,10]:0.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:0.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
