[12,12]
[0,0]:-1.0
[1,0]:-0.416
[2,0]:0.187
[3,0]:0.201
[4,0]:0.127
[5,0]:0.084
[6,0]:0.06
[7,0]:0.045
[8,0]:0.035
[9,0]:0.029
[10,0]:0.029
[11,0]:0.029
[0,1]:1.0
[1,1]:0.416
[2,1]:-0.187
[3,1]:-0.201
[4,1]:-0.127
[5,1]:-0.084
[6,1]:-0.06
[7,1]:-0.045
[8,1]:-0.035
[9,1]:-0.029
[10,1]:-0.029
[11,1]:-0.029
[0,2]:1.0
[1,2]:0.553
[2,2]:-0.174
[3,2]:-0.26
[4,2]:-0.187
[5,2]:-0.131
[6,2]:-0.095
[7,2]:-0.072
[8,2]:-0.056
[9,2]:-0.047
[10,2]:-0.047
[11,2]:-0.047
[0,3]:1.0
[1,3]:0.618
[2,3]:-0.139
[3,3]:-0.272
[4,3]:-0.216
[5,3]:-0.161
[6,3]:-0.12
[7,3]:-0.092
[8,3]:-0.073
[9,3]:-0.061
[10,3]:-0.061
[11,3]:-0.061
[0,4]:1.0
[1,4]:0.645
[2,4]:-0.117
[3,4]:-0.27
[4,4]:-0.227
[5,4]:-0.175
[6,4]:-0.134
[7,4]:-0.104
[8,4]:-0.083
[9,4]:-0.069
[10,4]:-0.069
[11,4]:-0.069
[0,5]:1.0
[1,5]:0.648
[2,5]:-0.112
[3,5]:-0.268
[4,5]:-0.228
[5,5]:-0.178
[6,5]:-0.137
[7,5]:-0.107
[8,5]:-0.085
[9,5]:-0.072
[10,5]:-0.072
[11,5]:-0.072
[0,6]:1.0
[1,6]:0.629
[2,6]:-0.123
[3,6]:-0.268
[4,6]:-0.222
[5,6]:-0.17
[6,6]:-0.13
[7,6]:-0.101
[8,6]:-0.08
[9,6]:-0.067
[10,6]:-0.067
[11,6]:-0.067
[0,7]:1.0
[1,7]:0.582
[2,7]:-0.148
[3,7]:-0.264
[4,7]:-0.204
[5,7]:-0.15
[6,7]:-0.112
[7,7]:-0.086
[8,7]:-0.068
[9,7]:-0.057
[10,7]:-0.057
[11,7]:-0.057
[0,8]:1.0
[1,8]:0.491
[2,8]:-0.18
[3,8]:-0.242
[4,8]:-0.167
[5,8]:-0.115
[6,8]:-0.083
[7,8]:-0.063
[8,8]:-0.05
[9,8]:-0.041
[10,8]:-0.041
[11,8]:-0.041
[0,9]:1.0
[1,9]:0.315
[2,9]:-0.18
[3,9]:-0.167
[4,9]:-0.098
[5,9]:-0.063
[6,9]:-0.044
[7,9]:-0.033
[8,9]:-0.026
[9,9]:-0.022
[10,9]:-0.022
[11,9]:-0.022
[0,10]:1.0
[1,10]:0.0
[2,10]:0.0
[3,10]:0.0
[4,10]:0.0
[5,10]:0.0
[6,10]:0.0
[7,10]:0.0
[8,10]:0.0
[9,10]:0.0
[10,10]:0.0
[11,10]:0.0
[0,11]:1.0
[1,11]:0.0
[2,11]:0.0
[3,11]:0.0
[4,11]:0.0
[5,11]:0.0
[6,11]:0.0
[7,11]:0.0
[8,11]:0.0
[9,11]:0.0
[10,11]:0.0
[11,11]:0.0
